,DV: CO2 emissions per capita (H1),DV: Life expectancy at birth (H2)
"Tourism intensity, ln (H1)",-0.075 (0.143),
PM2.5 (H2),,0.017 (0.012)
"GDP per capita, ln",1.342*** (0.304),1.085*** (0.340)
Urban population (%),0.047 (0.035),0.056 (0.035)
Renewable energy (%),-0.044*** (0.010),
Mobile subscriptions (per 100),,-0.003 (0.003)
N,2010,2010
R2 (within),-0.099,0.306
Countries,180.0,180.0
R2 (between),0.473,0.356
R2 (overall),0.461,0.391
