country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
CHI,1995,,,77.7,,,,,,,,145247,,30.4335168389694,Europe & Central Asia,High income,Channel Islands
CHL,1995,,2.91993131520032,75.298,,1.368639745,,6.12669762732528,25.8779010625726,34.2,,14527381,5081.4682771561,84.4167268897386,Latin America & Caribbean,High income,Chile
CHN,1995,46387000.0,2.75575496636525,70.363,,0.29791213,2.6099998951,,42.8576105011138,29.4,,1204855000,612.680277898627,29.0403804779053,East Asia & Pacific,Upper middle income,China
CIV,1995,188000.0,0.455196818336242,51.713,,0.0,,,21.294676505626,74.9,,14855565,740.4730999133,41.2920870145192,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire
CMR,1995,,0.31409649242842,53.347,,0.021193421,,3.67593915442683,47.9954968742739,84.5,,13058516,832.006674487689,43.3654956418773,Sub-Saharan Africa,Lower middle income,Cameroon
COD,1995,35000.0,0.0510435154135,50.381,,0.019636928,,,37.2003103281884,96.9,,44433704,127.008078734668,32.4561710395319,Sub-Saharan Africa,Low income,"Congo, Dem. Rep."
COG,1995,,0.55936633139889,55.474,,0.0,,1.06760732408049,35.3635407887377,69.8,,2749461,769.606794842829,56.4068153474735,Sub-Saharan Africa,Lower middle income,"Congo, Rep."
COL,1995,1433000.0,1.59218139042177,69.81,,0.763384012,,7.2292431461378,29.8544722337216,33.5,,35804662,2583.66576349858,71.8237121859285,Latin America & Caribbean,Upper middle income,Colombia
COM,1995,23000.0,0.154272035406421,57.83,,0.0,,48.0084876218801,9.89439015084007,73.0,,490586,800.623567802959,28.3468419976372,Sub-Saharan Africa,Lower middle income,Comoros
CPV,1995,28000.0,0.310980733796421,63.691,,0.0,,34.7379730709843,23.6635203516085,30.8,,418104,1165.13832331934,49.5954717142527,Sub-Saharan Africa,Lower middle income,Cabo Verde
CRI,1995,924000.0,1.38599019176138,76.44,,0.524790252,1.7799999714,20.6551164049811,19.7398782385643,35.0,,3535176,3275.25258510331,53.5950954268308,Latin America & Caribbean,Upper middle income,Costa Rica
CUB,1995,745000.0,2.35734784834426,74.346,,0.017745518,,,11.3216122780457,41.3,,10925362,2785.24442954103,74.5832290649414,Latin America & Caribbean,Upper middle income,Cuba
CUW,1995,396000.0,,72.831,,,,,,0.1,,145139,,87.2231241478651,Latin America & Caribbean,High income,Curaçao
